STRING,Np,Ns,CC,Vdrop,Panel,Isc,Imp,Vmp,Voc,group no.
S1,5,23,505-510,3,SP22,512.2416,498.906,2418.746,2700.039,8
S2,5,23,505-510,3,SP12,512.2416,498.906,2418.746,2700.039,8
S3,5,23,505-510,3,SP22,512.2416,498.906,2418.746,2700.039,8
S4,5,23,505-510,3,SP12,512.2416,498.906,2418.746,2700.039,8
S5,4,23,505-510,3,SP22,512.2416,498.906,2418.746,2700.039,8
S6,4,23,505-510,3,SP12,512.2416,498.906,2418.746,2700.039,8
S7,4,23,505-510,3,SP22,512.2416,498.906,2418.746,2700.039,8
S8,4,23,505-510,3,SP12,512.2416,498.906,2418.746,2700.039,8
S9,4,23,505-510,3,SP22,512.2416,498.906,2418.746,2700.039,8
S10,4,23,505-510,3,SP12,512.2416,498.906,2418.746,2700.039,8
S11,4,23,505-510,3,SP22,512.2416,498.906,2418.746,2700.039,8
S12,4,23,505-510,3,SP12,512.2416,498.906,2418.746,2700.039,8
S13,4,23,505-510,3,SP22,512.2416,498.906,2418.746,2700.039,8
S14,4,23,505-510,3,SP12,512.2416,498.906,2418.746,2700.039,8
S15,5,23,500-505,3,SP21,509.1906,494.2641,2416.223,2694.088,7
S16,5,23,500-505,3,SP11,509.1906,494.2641,2416.223,2694.088,7
S17,5,23,500-505,3,SP21,509.1906,494.2641,2416.223,2694.088,7
S18,5,23,500-505,3,SP11,509.1906,494.2641,2416.223,2694.088,7
S19,4,23,500-505,3,SP21,509.1906,494.2641,2416.223,2694.088,7
S20,4,23,500-505,3,SP11,509.1906,494.2641,2416.223,2694.088,7
S21,4,23,500-505,3,SP21,509.1906,494.2641,2416.223,2694.088,7
S22,4,23,500-505,3,SP11,509.1906,494.2641,2416.223,2694.088,7
S23,4,23,495-500,3,SP21,506.0621,491.0916,2403.631,2679.021,6
S24,4,23,495-500,3,SP11,506.0621,491.0916,2403.631,2679.021,6
S25,4,23,490-495,3,SP21,503.8484,488.1797,2384.623,2659.439,5
S26,4,23,495-500,3,SP11,506.0621,491.0916,2403.631,2679.021,6
S27,4,23,490-495,3,SP21,503.8484,488.1797,2384.623,2659.439,5
S28,4,23,490-495,3,SP11,503.8484,488.1797,2384.623,2659.439,5
